Starting Crane Layout Optimization - SCENARIO: Base with Min Distance 50m
Running Dolphin Echolocation Algorithm...
Iteration 1/200, Best Fitness: 1000000000.00
Iteration 2/200, Best Fitness: 14229.76
Iteration 3/200, Best Fitness: 14229.76
Iteration 4/200, Best Fitness: 14151.70
Iteration 5/200, Best Fitness: 14151.59
Iteration 6/200, Best Fitness: 14104.08
Iteration 7/200, Best Fitness: 14103.90
Iteration 8/200, Best Fitness: 14103.85
Iteration 9/200, Best Fitness: 14077.57
Iteration 10/200, Best Fitness: 14009.78
Iteration 11/200, Best Fitness: 13990.02
Iteration 12/200, Best Fitness: 13986.16
Iteration 13/200, Best Fitness: 13986.16
Iteration 14/200, Best Fitness: 13986.16
Iteration 15/200, Best Fitness: 13985.32
Iteration 16/200, Best Fitness: 13985.32
Iteration 17/200, Best Fitness: 13945.05
Iteration 18/200, Best Fitness: 13944.96
Iteration 19/200, Best Fitness: 13944.93
Iteration 20/200, Best Fitness: 13944.93
Iteration 21/200, Best Fitness: 13918.79
Iteration 22/200, Best Fitness: 13918.79
Iteration 23/200, Best Fitness: 13918.79
Iteration 24/200, Best Fitness: 13913.42
Iteration 25/200, Best Fitness: 13911.62
Iteration 26/200, Best Fitness: 13909.45
Iteration 27/200, Best Fitness: 13909.45
Iteration 28/200, Best Fitness: 13893.46
Iteration 29/200, Best Fitness: 13889.05
Iteration 30/200, Best Fitness: 13888.63
Iteration 31/200, Best Fitness: 13888.63
Iteration 32/200, Best Fitness: 13888.63
Iteration 33/200, Best Fitness: 13888.63
Iteration 34/200, Best Fitness: 13888.63
Iteration 35/200, Best Fitness: 13888.63
Iteration 36/200, Best Fitness: 13888.63
Iteration 37/200, Best Fitness: 13888.63
Iteration 38/200, Best Fitness: 13888.63
Iteration 39/200, Best Fitness: 13888.63
Iteration 40/200, Best Fitness: 13888.63
Iteration 41/200, Best Fitness: 13888.63
Iteration 42/200, Best Fitness: 13888.63
Iteration 43/200, Best Fitness: 13888.63
Iteration 44/200, Best Fitness: 13888.63
Iteration 45/200, Best Fitness: 13888.63
Iteration 46/200, Best Fitness: 13888.63
Iteration 47/200, Best Fitness: 13887.11
Iteration 48/200, Best Fitness: 13886.78
Iteration 49/200, Best Fitness: 13886.78
Iteration 50/200, Best Fitness: 13886.70
Iteration 51/200, Best Fitness: 13886.30
Iteration 52/200, Best Fitness: 13886.18
Iteration 53/200, Best Fitness: 13886.07
Iteration 54/200, Best Fitness: 13886.07
Iteration 55/200, Best Fitness: 13886.07
Iteration 56/200, Best Fitness: 13886.07
Iteration 57/200, Best Fitness: 13886.07
Iteration 58/200, Best Fitness: 13882.83
Iteration 59/200, Best Fitness: 13882.83
Iteration 60/200, Best Fitness: 13882.83
Iteration 61/200, Best Fitness: 13882.83
Iteration 62/200, Best Fitness: 13882.83
Iteration 63/200, Best Fitness: 13882.83
Iteration 64/200, Best Fitness: 13882.83
Iteration 65/200, Best Fitness: 13882.52
Iteration 66/200, Best Fitness: 13882.52
Iteration 67/200, Best Fitness: 13882.52
Iteration 68/200, Best Fitness: 13882.52
Iteration 69/200, Best Fitness: 13882.52
Iteration 70/200, Best Fitness: 13882.52
Iteration 71/200, Best Fitness: 13879.58
Iteration 72/200, Best Fitness: 13878.97
Iteration 73/200, Best Fitness: 13878.97
Iteration 74/200, Best Fitness: 13878.97
Iteration 75/200, Best Fitness: 13878.97
Iteration 76/200, Best Fitness: 13874.44
Iteration 77/200, Best Fitness: 13874.44
Iteration 78/200, Best Fitness: 13874.44
Iteration 79/200, Best Fitness: 13874.44
Iteration 80/200, Best Fitness: 13874.44
Iteration 81/200, Best Fitness: 13869.90
Iteration 82/200, Best Fitness: 13869.90
Iteration 83/200, Best Fitness: 13869.90
Iteration 84/200, Best Fitness: 13869.90
Iteration 85/200, Best Fitness: 13869.90
Iteration 86/200, Best Fitness: 13852.31
Iteration 87/200, Best Fitness: 13852.31
Iteration 88/200, Best Fitness: 13852.31
Iteration 89/200, Best Fitness: 13852.31
Iteration 90/200, Best Fitness: 13852.31
Iteration 91/200, Best Fitness: 13852.31
Iteration 92/200, Best Fitness: 13850.80
Iteration 93/200, Best Fitness: 13850.34
Iteration 94/200, Best Fitness: 13850.28
Iteration 95/200, Best Fitness: 13849.86
Iteration 96/200, Best Fitness: 13849.86
Iteration 97/200, Best Fitness: 13849.86
Iteration 98/200, Best Fitness: 13849.86
Iteration 99/200, Best Fitness: 13849.86
Iteration 100/200, Best Fitness: 13849.86
Iteration 101/200, Best Fitness: 13849.86
Iteration 102/200, Best Fitness: 13849.86
Iteration 103/200, Best Fitness: 13849.86
Iteration 104/200, Best Fitness: 13849.86
Iteration 105/200, Best Fitness: 13849.86
Iteration 106/200, Best Fitness: 13849.86
Iteration 107/200, Best Fitness: 13849.86
