Starting Crane Layout Optimization - SCENARIO: Site Width Reduction (Y=60m)
Running Dolphin Echolocation Algorithm...
Iteration 1/200, Best Fitness: 4000000000.00
Iteration 2/200, Best Fitness: 3000000000.00
Iteration 3/200, Best Fitness: 3000000000.00
Iteration 4/200, Best Fitness: 2000000000.00
Iteration 5/200, Best Fitness: 1000000000.00
Iteration 6/200, Best Fitness: 1000000000.00
Iteration 7/200, Best Fitness: 1000000000.00
Iteration 8/200, Best Fitness: 1000000000.00
Iteration 9/200, Best Fitness: 1000000000.00
Iteration 10/200, Best Fitness: 1000000000.00
Iteration 11/200, Best Fitness: 1000000000.00
Iteration 12/200, Best Fitness: 1000000000.00
Iteration 13/200, Best Fitness: 1000000000.00
Iteration 14/200, Best Fitness: 1000000000.00
Iteration 15/200, Best Fitness: 1000000000.00
Iteration 16/200, Best Fitness: 1000000000.00
Iteration 17/200, Best Fitness: 1000000000.00
Iteration 18/200, Best Fitness: 1000000000.00
Iteration 19/200, Best Fitness: 1000000000.00
Iteration 20/200, Best Fitness: 1000000000.00
Iteration 21/200, Best Fitness: 1000000000.00
Iteration 22/200, Best Fitness: 1000000000.00
Iteration 23/200, Best Fitness: 1000000000.00
Iteration 24/200, Best Fitness: 1000000000.00
Iteration 25/200, Best Fitness: 1000000000.00
Iteration 26/200, Best Fitness: 1000000000.00
Iteration 27/200, Best Fitness: 1000000000.00
Iteration 28/200, Best Fitness: 1000000000.00
Iteration 29/200, Best Fitness: 1000000000.00
Iteration 30/200, Best Fitness: 1000000000.00
Iteration 31/200, Best Fitness: 1000000000.00
Iteration 32/200, Best Fitness: 1000000000.00
Iteration 33/200, Best Fitness: 1000000000.00
Iteration 34/200, Best Fitness: 1000000000.00
Iteration 35/200, Best Fitness: 1000000000.00
Iteration 36/200, Best Fitness: 1000000000.00
Iteration 37/200, Best Fitness: 1000000000.00
Iteration 38/200, Best Fitness: 1000000000.00
Iteration 39/200, Best Fitness: 1000000000.00
Iteration 40/200, Best Fitness: 1000000000.00
Iteration 41/200, Best Fitness: 1000000000.00
Iteration 42/200, Best Fitness: 1000000000.00
Iteration 43/200, Best Fitness: 1000000000.00
Iteration 44/200, Best Fitness: 1000000000.00
Iteration 45/200, Best Fitness: 1000000000.00
Iteration 46/200, Best Fitness: 1000000000.00
Iteration 47/200, Best Fitness: 1000000000.00
Iteration 48/200, Best Fitness: 1000000000.00
Iteration 49/200, Best Fitness: 1000000000.00
Iteration 50/200, Best Fitness: 1000000000.00
Iteration 51/200, Best Fitness: 14304.39
Iteration 52/200, Best Fitness: 14304.39
Iteration 53/200, Best Fitness: 14304.39
Iteration 54/200, Best Fitness: 14244.97
Iteration 55/200, Best Fitness: 14244.97
Iteration 56/200, Best Fitness: 14244.97
Iteration 57/200, Best Fitness: 14186.12
Iteration 58/200, Best Fitness: 14186.12
Iteration 59/200, Best Fitness: 14179.61
Iteration 60/200, Best Fitness: 14179.61
Iteration 61/200, Best Fitness: 14179.61
Iteration 62/200, Best Fitness: 14179.61
Iteration 63/200, Best Fitness: 14179.61
Iteration 64/200, Best Fitness: 14179.61
Iteration 65/200, Best Fitness: 14179.61
Iteration 66/200, Best Fitness: 14179.61
Iteration 67/200, Best Fitness: 14179.61
Iteration 68/200, Best Fitness: 14179.61
Iteration 69/200, Best Fitness: 14179.61
Iteration 70/200, Best Fitness: 14158.51
Iteration 71/200, Best Fitness: 14148.89
Iteration 72/200, Best Fitness: 14148.89
Iteration 73/200, Best Fitness: 14148.89
Iteration 74/200, Best Fitness: 14148.89
Iteration 75/200, Best Fitness: 14148.89
Iteration 76/200, Best Fitness: 14148.89
Iteration 77/200, Best Fitness: 14148.89
Iteration 78/200, Best Fitness: 14126.25
Iteration 79/200, Best Fitness: 14103.60
Iteration 80/200, Best Fitness: 14101.49
Iteration 81/200, Best Fitness: 14101.49
Iteration 82/200, Best Fitness: 14101.49
Iteration 83/200, Best Fitness: 14101.22
Iteration 84/200, Best Fitness: 14101.22
Iteration 85/200, Best Fitness: 14099.47
Iteration 86/200, Best Fitness: 14099.47
Iteration 87/200, Best Fitness: 14096.28
Iteration 88/200, Best Fitness: 14088.71
Iteration 89/200, Best Fitness: 14085.64
Iteration 90/200, Best Fitness: 14085.64
Iteration 91/200, Best Fitness: 14085.64
Iteration 92/200, Best Fitness: 14070.34
Iteration 93/200, Best Fitness: 14070.34
Iteration 94/200, Best Fitness: 14070.34
Iteration 95/200, Best Fitness: 14064.46
Iteration 96/200, Best Fitness: 14064.46
Iteration 97/200, Best Fitness: 14056.45
Iteration 98/200, Best Fitness: 14036.55
Iteration 99/200, Best Fitness: 14036.55
Iteration 100/200, Best Fitness: 14034.97
Iteration 101/200, Best Fitness: 14034.97
Iteration 102/200, Best Fitness: 14002.06
Iteration 103/200, Best Fitness: 14002.06
Iteration 104/200, Best Fitness: 13992.07
Iteration 105/200, Best Fitness: 13992.07
Iteration 106/200, Best Fitness: 13992.07
Iteration 107/200, Best Fitness: 13990.33
Iteration 108/200, Best Fitness: 13987.91
Iteration 109/200, Best Fitness: 13987.91
Iteration 110/200, Best Fitness: 13987.91
Iteration 111/200, Best Fitness: 13987.91
Iteration 112/200, Best Fitness: 13981.34
Iteration 113/200, Best Fitness: 13981.34
Iteration 114/200, Best Fitness: 13981.34
Iteration 115/200, Best Fitness: 13981.34
Iteration 116/200, Best Fitness: 13981.34
Iteration 117/200, Best Fitness: 13981.34
Iteration 118/200, Best Fitness: 13981.34
Iteration 119/200, Best Fitness: 13981.34
Iteration 120/200, Best Fitness: 13981.34
Iteration 121/200, Best Fitness: 13981.34
Iteration 122/200, Best Fitness: 13981.34
Iteration 123/200, Best Fitness: 13975.84
Iteration 124/200, Best Fitness: 13975.84
Iteration 125/200, Best Fitness: 13975.84
Iteration 126/200, Best Fitness: 13975.84
Iteration 127/200, Best Fitness: 13975.84
Iteration 128/200, Best Fitness: 13975.84
Iteration 129/200, Best Fitness: 13975.84
Iteration 130/200, Best Fitness: 13974.72
Iteration 131/200, Best Fitness: 13974.72
Iteration 132/200, Best Fitness: 13974.72
Iteration 133/200, Best Fitness: 13974.72
Iteration 134/200, Best Fitness: 13974.72
Iteration 135/200, Best Fitness: 13970.86
Iteration 136/200, Best Fitness: 13970.86
Iteration 137/200, Best Fitness: 13970.86
Iteration 138/200, Best Fitness: 13970.86
Iteration 139/200, Best Fitness: 13970.86
Iteration 140/200, Best Fitness: 13970.86
Iteration 141/200, Best Fitness: 13970.86
Iteration 142/200, Best Fitness: 13967.88
Iteration 143/200, Best Fitness: 13967.88
Iteration 144/200, Best Fitness: 13953.99
Iteration 145/200, Best Fitness: 13953.99
Iteration 146/200, Best Fitness: 13953.99
Iteration 147/200, Best Fitness: 13953.99
Iteration 148/200, Best Fitness: 13953.99
Iteration 149/200, Best Fitness: 13953.99
Iteration 150/200, Best Fitness: 13953.87
