Starting Crane Layout Optimization - FINAL SCENARIO (GA)
Running Genetic Algorithm...
Generation 1/200, Best Fitness: 4000000000.00
Generation 2/200, Best Fitness: 4000000000.00
Generation 3/200, Best Fitness: 3000000000.00
Generation 4/200, Best Fitness: 2000000000.00
Generation 5/200, Best Fitness: 2000000000.00
Generation 6/200, Best Fitness: 2000000000.00
Generation 7/200, Best Fitness: 2000000000.00
Generation 8/200, Best Fitness: 2000000000.00
Generation 9/200, Best Fitness: 2000000000.00
Generation 10/200, Best Fitness: 2000000000.00
Generation 11/200, Best Fitness: 1000000000.00
Generation 12/200, Best Fitness: 1000000000.00
Generation 13/200, Best Fitness: 1000000000.00
Generation 14/200, Best Fitness: 1000000000.00
Generation 15/200, Best Fitness: 1000000000.00
Generation 16/200, Best Fitness: 1000000000.00
Generation 17/200, Best Fitness: 1000000000.00
Generation 18/200, Best Fitness: 1000000000.00
Generation 19/200, Best Fitness: 1000000000.00
Generation 20/200, Best Fitness: 1000000000.00
Generation 21/200, Best Fitness: 1000000000.00
Generation 22/200, Best Fitness: 1000000000.00
Generation 23/200, Best Fitness: 1000000000.00
Generation 24/200, Best Fitness: 1000000000.00
Generation 25/200, Best Fitness: 1000000000.00
Generation 26/200, Best Fitness: 1000000000.00
Generation 27/200, Best Fitness: 1000000000.00
Generation 28/200, Best Fitness: 1000000000.00
Generation 29/200, Best Fitness: 1000000000.00
Generation 30/200, Best Fitness: 1000000000.00
Generation 31/200, Best Fitness: 1000000000.00
Generation 32/200, Best Fitness: 1000000000.00
Generation 33/200, Best Fitness: 1000000000.00
Generation 34/200, Best Fitness: 1000000000.00
Generation 35/200, Best Fitness: 1000000000.00
Generation 36/200, Best Fitness: 1000000000.00
Generation 37/200, Best Fitness: 1000000000.00
Generation 38/200, Best Fitness: 1000000000.00
Generation 39/200, Best Fitness: 1000000000.00
Generation 40/200, Best Fitness: 1000000000.00
Generation 41/200, Best Fitness: 1000000000.00
Generation 42/200, Best Fitness: 1000000000.00
Generation 43/200, Best Fitness: 1000000000.00
Generation 44/200, Best Fitness: 1000000000.00
Generation 45/200, Best Fitness: 1000000000.00
Generation 46/200, Best Fitness: 1000000000.00
Generation 47/200, Best Fitness: 1000000000.00
Generation 48/200, Best Fitness: 1000000000.00
Generation 49/200, Best Fitness: 1000000000.00
Generation 50/200, Best Fitness: 1000000000.00
Generation 51/200, Best Fitness: 1000000000.00
Generation 52/200, Best Fitness: 1000000000.00
Generation 53/200, Best Fitness: 1000000000.00
Generation 54/200, Best Fitness: 1000000000.00
Generation 55/200, Best Fitness: 1000000000.00
Generation 56/200, Best Fitness: 1000000000.00
Generation 57/200, Best Fitness: 1000000000.00
Generation 58/200, Best Fitness: 1000000000.00
Generation 59/200, Best Fitness: 1000000000.00
Generation 60/200, Best Fitness: 1000000000.00
Generation 61/200, Best Fitness: 1000000000.00
Generation 62/200, Best Fitness: 1000000000.00
Generation 63/200, Best Fitness: 1000000000.00
Generation 64/200, Best Fitness: 1000000000.00
Generation 65/200, Best Fitness: 1000000000.00
Generation 66/200, Best Fitness: 1000000000.00
Generation 67/200, Best Fitness: 1000000000.00
Generation 68/200, Best Fitness: 1000000000.00
Generation 69/200, Best Fitness: 1000000000.00
Generation 70/200, Best Fitness: 1000000000.00
Generation 71/200, Best Fitness: 1000000000.00
Generation 72/200, Best Fitness: 1000000000.00
Generation 73/200, Best Fitness: 1000000000.00
Generation 74/200, Best Fitness: 1000000000.00
Generation 75/200, Best Fitness: 1000000000.00
Generation 76/200, Best Fitness: 1000000000.00
Generation 77/200, Best Fitness: 1000000000.00
Generation 78/200, Best Fitness: 1000000000.00
Generation 79/200, Best Fitness: 1000000000.00
Generation 80/200, Best Fitness: 1000000000.00
Generation 81/200, Best Fitness: 1000000000.00
Generation 82/200, Best Fitness: 1000000000.00
Generation 83/200, Best Fitness: 1000000000.00
Generation 84/200, Best Fitness: 1000000000.00
Generation 85/200, Best Fitness: 1000000000.00
Generation 86/200, Best Fitness: 1000000000.00
Generation 87/200, Best Fitness: 1000000000.00
Generation 88/200, Best Fitness: 1000000000.00
Generation 89/200, Best Fitness: 1000000000.00
Generation 90/200, Best Fitness: 1000000000.00
Generation 91/200, Best Fitness: 1000000000.00
Generation 92/200, Best Fitness: 1000000000.00
Generation 93/200, Best Fitness: 1000000000.00
Generation 94/200, Best Fitness: 1000000000.00
Generation 95/200, Best Fitness: 1000000000.00
Generation 96/200, Best Fitness: 1000000000.00
Generation 97/200, Best Fitness: 1000000000.00
Generation 98/200, Best Fitness: 1000000000.00
Generation 99/200, Best Fitness: 1000000000.00
Generation 100/200, Best Fitness: 1000000000.00
Generation 101/200, Best Fitness: 1000000000.00
Generation 102/200, Best Fitness: 1000000000.00
Generation 103/200, Best Fitness: 1000000000.00
Generation 104/200, Best Fitness: 1000000000.00
Generation 105/200, Best Fitness: 1000000000.00
Generation 106/200, Best Fitness: 1000000000.00
Generation 107/200, Best Fitness: 1000000000.00
Generation 108/200, Best Fitness: 1000000000.00
Generation 109/200, Best Fitness: 1000000000.00
Generation 110/200, Best Fitness: 1000000000.00
