Starting Crane Layout Optimization - FINAL SCENARIO (PSO)
Running Particle Swarm Optimization...
Iteration 1/200, Global Best Fitness: 2000000000.00
Iteration 2/200, Global Best Fitness: 2000000000.00
Iteration 3/200, Global Best Fitness: 2000000000.00
Iteration 4/200, Global Best Fitness: 2000000000.00
Iteration 5/200, Global Best Fitness: 2000000000.00
Iteration 6/200, Global Best Fitness: 2000000000.00
Iteration 7/200, Global Best Fitness: 2000000000.00
Iteration 8/200, Global Best Fitness: 2000000000.00
Iteration 9/200, Global Best Fitness: 2000000000.00
Iteration 10/200, Global Best Fitness: 2000000000.00
Iteration 11/200, Global Best Fitness: 2000000000.00
Iteration 12/200, Global Best Fitness: 2000000000.00
Iteration 13/200, Global Best Fitness: 2000000000.00
Iteration 14/200, Global Best Fitness: 1000000000.00
Iteration 15/200, Global Best Fitness: 1000000000.00
Iteration 16/200, Global Best Fitness: 1000000000.00
Iteration 17/200, Global Best Fitness: 1000000000.00
Iteration 18/200, Global Best Fitness: 1000000000.00
Iteration 19/200, Global Best Fitness: 1000000000.00
Iteration 20/200, Global Best Fitness: 1000000000.00
Iteration 21/200, Global Best Fitness: 1000000000.00
Iteration 22/200, Global Best Fitness: 1000000000.00
Iteration 23/200, Global Best Fitness: 1000000000.00
Iteration 24/200, Global Best Fitness: 1000000000.00
Iteration 25/200, Global Best Fitness: 1000000000.00
Iteration 26/200, Global Best Fitness: 1000000000.00
Iteration 27/200, Global Best Fitness: 1000000000.00
Iteration 28/200, Global Best Fitness: 1000000000.00
Iteration 29/200, Global Best Fitness: 1000000000.00
Iteration 30/200, Global Best Fitness: 1000000000.00
Iteration 31/200, Global Best Fitness: 1000000000.00
Iteration 32/200, Global Best Fitness: 1000000000.00
Iteration 33/200, Global Best Fitness: 1000000000.00
Iteration 34/200, Global Best Fitness: 1000000000.00
Iteration 35/200, Global Best Fitness: 1000000000.00
Iteration 36/200, Global Best Fitness: 1000000000.00
Iteration 37/200, Global Best Fitness: 1000000000.00
Iteration 38/200, Global Best Fitness: 1000000000.00
Iteration 39/200, Global Best Fitness: 1000000000.00
Iteration 40/200, Global Best Fitness: 1000000000.00
Iteration 41/200, Global Best Fitness: 1000000000.00
Iteration 42/200, Global Best Fitness: 1000000000.00
Iteration 43/200, Global Best Fitness: 1000000000.00
Iteration 44/200, Global Best Fitness: 1000000000.00
Iteration 45/200, Global Best Fitness: 1000000000.00
Iteration 46/200, Global Best Fitness: 1000000000.00
Iteration 47/200, Global Best Fitness: 1000000000.00
Iteration 48/200, Global Best Fitness: 1000000000.00
Iteration 49/200, Global Best Fitness: 1000000000.00
Iteration 50/200, Global Best Fitness: 1000000000.00
Iteration 51/200, Global Best Fitness: 1000000000.00
Iteration 52/200, Global Best Fitness: 1000000000.00
Iteration 53/200, Global Best Fitness: 1000000000.00
Iteration 54/200, Global Best Fitness: 1000000000.00
Iteration 55/200, Global Best Fitness: 1000000000.00
Iteration 56/200, Global Best Fitness: 1000000000.00
Iteration 57/200, Global Best Fitness: 1000000000.00
Iteration 58/200, Global Best Fitness: 1000000000.00
Iteration 59/200, Global Best Fitness: 1000000000.00
Iteration 60/200, Global Best Fitness: 1000000000.00
Iteration 61/200, Global Best Fitness: 1000000000.00
Iteration 62/200, Global Best Fitness: 1000000000.00
Iteration 63/200, Global Best Fitness: 1000000000.00
Iteration 64/200, Global Best Fitness: 1000000000.00
Iteration 65/200, Global Best Fitness: 1000000000.00
Iteration 66/200, Global Best Fitness: 1000000000.00
Iteration 67/200, Global Best Fitness: 15011.89
Iteration 68/200, Global Best Fitness: 14717.48
